GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenNARS Logic Reasoner,nars.time,RealtimeNSClock,10,0,0,0,3,0,3,0,3,0
OpenNARS Logic Reasoner,nars.time,SimulatedClock,43,0,0,0,12,0,8,0,8,0
OpenNARS Logic Reasoner,nars.time,RealtimeDSClock,12,0,0,0,3,0,3,0,3,0
OpenNARS Logic Reasoner,nars.time,RealtimeClock,58,0,0,0,14,0,7,0,7,0
OpenNARS Logic Reasoner,nars.time,RealtimeClock.Lag,26,0,0,0,5,0,2,0,2,0
OpenNARS Logic Reasoner,nars.time,RealtimeMSClock,10,0,0,0,3,0,3,0,3,0
OpenNARS Logic Reasoner,nars.time,FrameClock,6,17,0,0,2,6,2,4,2,4
OpenNARS Logic Reasoner,nars.time,CycleClock,51,0,6,0,16,0,10,0,7,0
OpenNARS Logic Reasoner,nars.util.time,IntervalTreeLeaf,155,107,18,8,38,25,32,17,22,14
OpenNARS Logic Reasoner,nars.util.time,Between,15,64,1,11,1,11,2,12,1,7
OpenNARS Logic Reasoner,nars.util.time,IntervalTree,178,139,29,11,46,33,32,17,14,15
OpenNARS Logic Reasoner,nars.util.time,IntervalTreeBranch,445,199,107,29,82,42,86,18,23,13
OpenNARS Logic Reasoner,nars.util.version,VersionMap.RemovingVersionedEntry,5,29,0,2,1,10,1,4,1,3
OpenNARS Logic Reasoner,nars.util.version,Versioning.FasterListDequePool,0,9,0,0,0,3,0,2,0,2
OpenNARS Logic Reasoner,nars.util.version,Versioned,44,164,8,16,12,44,10,18,5,11
OpenNARS Logic Reasoner,nars.util.version,VersionMap,71,123,7,7,19,31,13,16,8,14
OpenNARS Logic Reasoner,nars.util.version,Versioning,13,131,2,8,3,34,3,15,1,12
OpenNARS Logic Reasoner,nars.util.version,Versioning.intDequePool,0,7,0,0,0,3,0,2,0,2
OpenNARS Logic Reasoner,nars.op.software.scheme.cons,Cons.new Iterator() {...},4,32,1,3,1,7,1,4,0,3
OpenNARS Logic Reasoner,nars.op.software.scheme.cons,Cons,51,173,6,16,14,44,9,29,4,23
OpenNARS Logic Reasoner,nars.op.software.scheme.cons,Cons.Empty,23,9,0,0,7,4,7,3,7,3
OpenNARS Logic Reasoner,nars,NARLoop,293,0,40,0,77,0,33,0,13,0
OpenNARS Logic Reasoner,nars,NARjs,162,0,8,0,37,0,9,0,5,0
OpenNARS Logic Reasoner,nars,Narsese.ValidAtomCharMatcher,2,36,0,6,1,9,1,6,1,3
OpenNARS Logic Reasoner,nars,Op,53,881,10,42,8,121,11,45,4,26
